"Id","State","City","Sight_Date"
"1","IL","Tinley Park",20041031
"2","IL","Tinley Park",20040821
"3","IL","Rockford",20010111
"4","IL","Tinley Park",20051001
"5","IL","Tinley Park",20050930
"6","NJ","Carteret",20010715
"7","IL","Rockford",20000216
"8","OR","Portland",20060429
"9","IL","Orland Park",20050930
"10","WA","Seattle",20140704
"11","IL","Oak Forest",20050930
"12","WA","Kenmore",20140427
"13","OH","Columbus",20130706
"14","SC","Myrtle Beach",20120808
"15","AZ","Phoenix",20080421
"16","AL","Birmingham",20061128
"17","IL","Oak Forest",20051001
"18","AZ","Phoenix",20151107
"19","CA","Escondido",20151107
"20","CA","San Diego",20151107
"21","TX","Austin",20140712
"22","WA","Seattle",20120704
"23","WA","Seattle",20100717
"24","CA","El Cajon",20090704
"25","WA","Auburn",20090704
"26","IN","Kokomo",20080416
"27","CA","San Diego",20080101
"28","FL","Navarre",20051107
"29","OH","Brook Park",20050710
"30","OR","Gresham",20050611
"31","AZ","Mesa",20050128
"32","CO","Daniel's Park",20010922
"33","WI","Dundee",20010721
"34","IL","Rockford",20010210
"35","IL","Chicago",19991116
"36","SC","Myrtle Beach",20170515
"37","CA","La Jolla",20151107
"38","CO","Greeley",20150912
"39","MN","Lakeville",20150809
"40","FL","Miami Lakes",20150312
"41","SC","Myrtle Beach",20141021
"42","NM","Albuquerque",20140913
"43","OH","Cincinnati",20131101
"44","SC","Myrtle Beach",20130718
"45","VA","Stafford",20121117
"46","WA","Vancouver",20121114
"47","SC","Myrtle Beach",20121024
"48","SC","Myrtle Beach",20120718
"49","WA","Seattle",20120707
"50","AZ","Kingman",20110804
"51","GA","Mableton",20110703
"52","CA","Wildomar",20110106
"53","WA","Vancouver",20100704
"54","CA","El Cajon",20100101
"55","ID","Boise",20090918
"56","WA","Seattle",20090704
"57","TX","Keller",20071019
"58","CO","Hooper",20070728
"59","OR","Portland",20050501
"60","IL","Orland Hills",20041031
"61","MN","Minneapolis",20040819
"62","CA","El Cajon",20040704
"63","SC","Myrtle Beach",20030909
"64","CA","Chico",20030216
"65","CO","Lakewood",20010930
"66","IL","Rockford",20010318
"67","CA","San Diego",20000826
"68","AZ","Chandler",20000815
"69","AZ","Gilbert",20000815
"70","AZ","Gilbert",20000713
"71","AZ","Gilbert",20000712
"72","WA","Tacoma",20000704
"73","NY","Portville",19991011
"74","NV","Laughlin",19990227
"75","NV","Reno",19971209
"76","CO","Denver",20170704
"77","MD","Silver Spring",20170629
"78","NV","Reno",20170606
"79","NM","Albuquerque",20170502
"80","CA","San Diego",20170315
"81","AZ","Glendale",20161110
"82","SC","Hilton Head",20160910
"83","WI","Bloomer",20160905
"84","UT","Salt Lake City",20160727
"85","FL","Spring Hill",20160704
"86","OR","Portland",20160401
"87","NV","Reno",20151115
"88","CA","Huntington Beach",20151107
"89","CA","Oceanside",20151107
"90","CA","Oxnard",20151107
"91","CA","Riverside",20151107
"92","CA","San Jose",20151107
"93","NV","Las Vegas",20151107
"94","NY","East Northport",20151107
"95","CA","Rancho Cucamonga",20151106
"96","NV","Las Vegas",20150704
"97","NY","Middletown",20150704
"98","NY","Syracuse",20150704
"99","OR","Gresham",20150605
"100","ID","Mountain Home",20150501
"101","SC","North Myrtle Beach",20141008
"102","AZ","Gilbert",20140920
"103","MA","Lawrence",20140904
"104","VA","Dunnsville",20140809
"105","OR","Coos Bay",20140731
"106","PA","Philadelphia",20140705
"107","CA","Lake Arrowhead",20140704
"108","CO","Denver",20140704
"109","KY","Louisville",20140704
"110","SC","Bluffton",20140704
"111","SC","Litchfield",20140626
"112","SC","Myrtle Beach",20140625
"113","SC","Myrtle Beach",20140610
"114","CA","Chico",20140418
"115","AZ","San Tan Valley",20140107
"116","CA","San Diego",20131230
"117","AK","Anchorage",20131223
"118","CO","Longmont",20131213
"119","FL","Lake Worth",20131203
"120","OR","Bend",20131124
"121","MA","Bridgewater",20131120
"122","OH","Cincinnati",20131011
"123","PA","Oxford",20130928
"124","CO","Denver",20130923
"125","OH","Columbus",20130914
"126","AZ","Mesa",20130902
"127","CT","Bristol",20130830
"128","FL","Captiva",20130809
"129","OH","Grove City",20130706
"130","WA","Bremerton",20130704
"131","SC","North Myrtle Beach",20130620
"132","CT","Seymour",20130526
"133","NM","Albuquerque",20130428
"134","WA","Wenatchee",20121228
"135","WA","Spokane Valley",20121208
"136","CO","Longmont",20121207
"137","KY","Russell Springs",20121118
"138","ME","Waterville",20121101
"139","SC","Myrtle Beach",20121023
"140","CT","Milford",20121013
"141","NC","Salvo",20120921
"142","WI","Green Bay",20120821
"143","NC","Hickory",20120804
"144","CA","Livermore",20120731
"145","NC","Holden Beach",20120718
"146","WA","Puyallup",20120704
"147","ME","Scarborough",20120419
"148","CA","Antioch",20120125
"149","WA","Spokane",20111223
"150","FL","Englewood",20111103
"151","MA","New Bedford",20111009
"152","WA","Kennewick",20111008
"153","WA","Vancouver",20110930
"154","WI","Stevens Point",20110715
"155","NY","Watkins Glen",20110713
"156","WA","Vancouver",20110220
"157","CA","Murrieta",20110106
"158","ME","Harrison",20101112
"159","PA","New Castle",20100925
"160","FL","Palm Bay",20100921
"161","DC","Washington, D.C.",20100720
"162","PA","Millville",20100710
"163","WA","Vancouver",20100708
"164","WA","Seattle",20100706
"165","IL","Batavia",20100626
"166","OR","Oregon City",20100529
"167","WA","Brady",20100408
"168","IL","Petersburg",20091128
"169","CA","San Jose",20090907
"170","CA","Santa Rosa",20090823
"171","SC","Myrtle Beach",20090527
"172","IL","Mokena",20090316
"173","FL","Fort Lauderdale",20081218
"174","AZ","Tucson",20080617
"175","CO","Loveland",20080427
"176","NC","Charlotte",20080321
"177","SC","Myrtle Beach",20080220
"178","CA","Yorba Linda",20080126
"179","TX","Springtown",20080118
"180","TX","Stephenville",20080108
"181","CA","Burbank",20080101
"182","CA","San Diego",20071222
"183","WA","Bremerton",20070305
"184","CA","Windsor",20070101
"185","AZ","Ajo",20061130
"186","TN","Knoxville",20061128
"187","CA","Sonoma",20060729
"188","IN","Kokomo",20060321
"189","CA","Whittier",20060310
"190","CA","Tracy",20051026
"191","WI","Gleason",20051015
"192","MN","Fergus Falls",20050520
"193","TX","Sidney",20050409
"194","AR","Coal Hill",20050224
"195","OH","Adamsville",20050201
"196","WI","Milwaukee",20050113
"197","NY","Syracuse",20041103
"198","IL","Orland Park",20041031
"199","WA","Seattle",20041031
"200","IL","Orland Park",20040821
"201","TX","Houston",20040821
"202","MN","St. Paul",20040819
"203","FL","Casselberry",20040704
"204","PA","Philadelphia",20040618
"205","AZ","Phoenix",20040614
"206","IN","Logansport",20040416
"207","CA","Sonora",20040403
"208","WA","Yakima",20040317
"209","CA","Willits",20040121
"210","NY","New York City",20031108
"211","NY","New York City (Brooklyn)",20030908
"212","CA","Montebello",20030831
"213","CA","Los Angeles",20030830
"214","TN","Manchester",20030615
"215","AL","Cullman",20030601
"216","CA","Burbank",20030101
"217","WA","Wenatchee",20021231
"218","PA","Northumberland",20020804
"219","CA","Avalon",20020723
"220","NV","Las Vegas",20020606
"221","IL","Urbana",20020202
"222","VA","Richmond",20020107
"223","KS","Lawrence",20011201
"224","WA","Enumclaw",20011115
"225","WA","Bothell",20010923
"226","NY","New York City",20010911
"227","CA","Crestline",20010630
"228","GA","Atlanta",20001123
"229","CA","San Fernando Valley",20000930
"230","AZ","Gilbert",20000804
"231","AZ","Bouse",20000727
"232","AZ","Gilbert",20000725
"233","CA","Los Angeles",20000707
"234","IL","Rockford",20000211
"235","TX","Houston",19991118
"236","KY","Louisville",19991116
"237","OH","Cleveland",19991116
"238","SC","Charleston",19981004
"239","CA","San Diego",20170928
"240","OH","Bay Village",20170928
"241","MI","Fruitport",20170925
"242","CA","San Diego",20170923
"243","CA","Half Moon Bay",20170903
"244","UT","Thompson Springs",20170827
"245","NY","East Patchogue",20170824
"246","IN","South Bend",20170822
"247","OR","Springfield",20170806
"248","OR","Portland",20170804
"249","WA","Oakesdale",20170802
"250","MN","Viking",20170801
"251","NY","Buffalo",20170731
"252","WA","Bellevue",20170729
"253","FL","Lake Worth",20170728
"254","WA","Spokane",20170727
"255","VA","Glen Allen",20170725
"256","FL","Holiday",20170724
"257","VA","Roanoke",20170716
"258","CA","San Diego",20170707
"259","KY","Lexington",20170704
"260","NY","Huntington",20170629
"261","OR","Portland",20170628
"262","CA","Oakland",20170527
"263","CA","Landers",20170521
"264","PA","Wilkes-Barre",20170519
"265","PA","Rockledge",20170515
"266","SC","North Myrtle Beach",20170515
"267","CT","Clinton",20170514
"268","GA","Atlanta",20170508
"269","MN","Eden Prairie",20170429
"270","MO","Columbia",20170420
"271","AL","Newton",20170419
"272","SC","Garden City",20170419
"273","CA","Los Angeles",20170418
"274","RI","Warren",20170418
"275","MI","Marne",20170414
"276","WA","Davenport",20170410
"277","FL","St. Petersburg",20170408
"278","NM","Albuquerque",20170323
"279","CO","Colorado Springs",20170320
"280","MO","Rolla",20170320
"281","KS","Kansas City",20170317
"282","AZ","Phoenix",20170315
"283","CA","Elk Grove",20170312
"284","SC","Gray Court",20170308
"285","GA","Decatur",20170226
"286","CT","Bridgeport",20170224
"287","TX","Dallas",20170224
"288","IL","Glendale Heights",20170218
"289","WY","Buford",20170218
"290","KS","Shawnee",20170215
"291","TX","Harper",20170215
"292","FL","Saint Petersburg",20170211
"293","LA","Amite",20170211
"294","NM","Espanola",20170208
"295","FL","Flagler Beach",20170203
"296","NY","New York City (Brooklyn)",20170126
"297","FL","Hernando",20170125
"298","CA","Santa Rosa",20170113
"299","CA","Galt",20170101
"300","ID","Boise",20170101
"301","TX","San Antonio",20170101
"302","AK","Wasilla",20161231
"303","DE","Delmar",20161230
"304","NV","North Las Vegas",20161229
"305","CA","Oxnard",20161225
"306","CO","Delta",20161210
"307","VA","Fredericksburg",20161209
"308","NJ","Woodbridge",20161124
"309","VA","Woodbridge",20161119
"310","MT","Billings",20161118
"311","OR","Portland",20161115
"312","WI","Stevens Point",20161115
"313","CA","Terra Linda",20161111
"314","AZ","Phoenix",20161110
"315","IA","Eldora",20161110
"316","IN","Indianapolis",20161110
"317","ND","Lidgerwood",20161107
"318","AZ","San Tan Valley",20161025
"319","NC","Kannapolis/Mooresville",20161023
"320","UT","Park City",20161020
"321","NH","Nashua",20161015
"322","GA","Douglasville",20161012
"323","CA","San Diego",20161011
"324","PA","Elizabethtown",20161010
"325","OH","Marietta",20161008
"326","ME","Ellsworth",20161003
"327","FL","St. Augustine",20161001
"328","LA","Kenner",20161001
"329","CO","Aurora",20160928
"330","WA","Bellingham",20160925
"331","CA","Newport Beach",20160921
"332","NY","Cicero",20160921
"333","UT","Salt Lake City",20160920
"334","OR","Eugene",20160913
"335","MI","South Haven",20160912
"336","NC","Raleigh",20160908
"337","GA","Winder",20160907
"338","OH","Fairborn",20160907
"339","AZ","Tempe",20160830
"340","CA","Santa Rosa",20160828
"341","IL","Rantoul",20160824
"342","MI","Ann Arbor",20160822
"343","OR","Silverton",20160821
"344","FL","Vero Beach",20160819
"345","RI","Providence",20160816
"346","GA","Lawrenceville",20160811
"347","CT","Bridgeport",20160806
"348","ID","Boise",20160806
"349","TX","Austin",20160802
"350","FL","Jacksonville",20160801
"351","WI","St. Germain",20160730
"352","WV","Marlinton",20160730
"353","CA","Sacramento",20160727
"354","CA","Stockton",20160727
"355","CA","Tracy",20160727
"356","CA","Ventura",20160727
"357","UT","West Valley City",20160727
"358","CA","Palm Desert",20160723
"359","ME","Fairfield",20160717
"360","CO","Broomfield",20160715
"361","FL","Apopka",20160714
"362","NH","Rochester",20160710
"363","CO","Fort Collins",20160704
"364","FL","Viera",20160704
"365","IN","Indianapolis",20160704
"366","WA","Vancouver",20160704
"367","CA","Pacifica",20160630
"368","OH","Columbus",20160627
"369","GA","Atlanta",20160619
"370","NC","Mills River",20160618
"371","NY","West Babylon",20160617
"372","OH","Lancaster",20160615
"373","AZ","Phoenix",20160613
"374","NY","Flanders",20160608
"375","WA","Cliffdell",20160604
"376","ME","South Berwick",20160603
"377","FL","Port St. Lucie",20160529
"378","GA","Cumming",20160529
"379","WI","Madison",20160529
"380","WA","Seattle",20160520
"381","NY","Ronkonkoma",20160518
"382","CO","Greeley",20160509
"383","ID","Coeur d'Alene",20160506
"384","PA","Philadelphia",20160430
"385","LA","New Orleans",20160426
"386","AZ","Phoenix",20160423
"387","NM","Albuquerque",20160413
"388","KS","Ellsworth",20160412
"389","MT","Kalispell",20160401
"390","VA","Portsmouth",20160318
"391","SC","Myrtle Beach",20160315
"392","VA","Stafford",20160311
"393","TX","Dallas",20160305
"394","VT","West Topsham",20160303
"395","AZ","Phoenix",20160302
"396","FL","Ocala",20160301
"397","PA","Tannersville",20160228
"398","AZ","Chandler",20160226
"399","CO","Pueblo",20160219
"400","NC","Durham",20160205
"401","AZ","Tucson",20160204
"402","ID","Boise",20160202
"403","CT","West Suffield",20160131
"404","TN","Ten mile",20160131
"405","NY","Woodside",20160116
"406","IL","Antioch",20160114
"407","NM","Albuquerque",20160113
"408","CA","Sacramento",20160101
"409","WA","Bellingham",20151225
"410","AZ","Avondale",20151224
"411","AZ","Bullhead City",20151222
"412","AZ","Queen Creek",20151222
